iter	MultiClass
0	1.174684592
1	1.069164024
2	1.003011225
3	0.9562660833
4	0.9226728671
5	0.8985835055
6	0.8749048373
7	0.8590322856
8	0.8450200003
9	0.833950061
10	0.8252661795
11	0.8191667364
12	0.8131863068
13	0.8087322972
14	0.8052596375
15	0.8020893022
16	0.798960061
17	0.7968220861
18	0.7951424553
19	0.7937413169
20	0.7925515257
21	0.7911768734
22	0.7902468305
23	0.7896808551
24	0.7890585703
25	0.7884005544
26	0.7878087561
27	0.7873486417
28	0.7869327453
29	0.7864904208
30	0.7861074459
31	0.7856700496
32	0.785184194
33	0.7850216997
34	0.784852527
35	0.7845652555
36	0.7843946453
37	0.7840152525
38	0.7840152477
39	0.7837480636
40	0.7834446976
41	0.7832802987
42	0.783102559
43	0.7829752744
44	0.7828058936
45	0.7826959303
46	0.7825633549
47	0.7822588802
48	0.7819331326
49	0.7816661616
50	0.7816498866
51	0.7813792162
52	0.781194652
53	0.7808583619
54	0.780615902
55	0.7802956443
56	0.7800191593
57	0.7797057043
58	0.7794706153
59	0.7790304705
60	0.7788746852
61	0.7786620322
62	0.778529529
63	0.7783238758
64	0.778103704
65	0.7780781577
66	0.7778452552
67	0.7777055237
68	0.777409376
69	0.7771853397
70	0.7770181672
71	0.7769857696
72	0.7768826062
73	0.7763109756
74	0.7761862008
75	0.7759492891
76	0.7758151226
77	0.7756383398
78	0.7755030711
79	0.7752021305
80	0.7750959763
81	0.7750656302
82	0.7748547649
83	0.7747721766
84	0.7747281548
85	0.7745297793
86	0.7743157605
87	0.7740287508
88	0.77394033
89	0.7738922814
90	0.7738721496
91	0.7735718257
92	0.7733685767
93	0.7732752179
94	0.773008636
95	0.7728639842
96	0.7726962684
97	0.7725427598
98	0.7723540951
99	0.7722746225
100	0.7721333498
101	0.7720761359
102	0.771700515
103	0.7716667322
104	0.7714295483
105	0.7711992013
106	0.7711480425
107	0.7710622513
108	0.7708994717
109	0.7708632824
110	0.7706395436
111	0.7702765075
112	0.7701198175
113	0.770080051
114	0.7698239875
115	0.7696851101
116	0.7693917638
117	0.7692879859
118	0.7692334374
