iter	Passed	Remaining
0	244	139913
1	491	140676
2	736	140147
3	984	140294
4	1277	145386
5	1546	146376
6	1845	149499
7	2097	148422
8	2365	148484
9	2631	148394
10	2906	148744
11	3171	148528
12	3436	148316
13	3708	148339
14	3957	147482
15	4230	147545
16	4491	147161
17	4756	146913
18	5016	146537
19	5292	146597
20	5555	146304
21	5817	145957
22	6091	145920
23	6357	145694
24	6623	145441
25	6905	145544
26	7194	145758
27	7485	145963
28	7731	145295
29	8034	145683
30	8327	145871
31	8726	147799
32	9009	147702
33	9283	147439
34	9570	147378
35	9837	147019
36	10108	146711
37	10375	146348
38	10462	143517
39	10729	143244
40	10998	142975
41	11261	142649
42	11534	142437
43	11772	141803
44	12046	141612
45	12323	141457
46	12572	140972
47	12842	140735
48	13121	140584
49	13390	140336
50	13631	139789
51	13925	139795
52	14178	139376
53	14436	139017
54	14745	139144
55	15030	139027
56	15300	138781
57	15580	138615
58	15862	138460
59	16125	138144
60	16499	138760
61	16812	138835
62	17088	138609
63	17353	138288
64	17613	137927
65	17865	137511
66	18166	137466
67	18446	137265
68	18719	137001
69	19024	136977
70	19306	136777
71	19747	137683
72	20067	137726
73	20453	138198
74	20767	138175
75	21045	137905
76	21322	137627
77	21593	137312
78	21910	137285
79	22274	137545
80	22546	137224
81	22817	136905
82	23097	136638
83	23454	136820
84	23714	136430
85	24131	136933
86	24427	136739
87	24691	136366
88	24981	136136
89	25231	135691
90	25486	135273
91	25755	134933
92	26121	135099
93	26420	134911
94	26679	134520
95	27124	135056
96	27409	134785
97	27820	135130
98	28123	134937
99	28373	134490
100	28636	134108
101	28914	133799
102	29189	133478
103	29458	133127
104	29823	133213
105	30116	132965
106	30396	132664
107	30776	132796
108	31077	132576
109	31353	132256
110	31659	132055
111	32061	132253
112	32339	131935
113	32593	131517
114	32858	131146
115	33127	130795
116	33408	130491
117	33691	130198
118	33976	129910
